id,first_name,second_name,web_name,team,position,ict_index,points_per_game,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,bonus,form,value_form,value_season,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,chance_of_playing_next_round,Cost
16,Henrikh,Mkhitaryan,Mkhitaryan,ARS,MID,8.6,1.3,0.7,4,110,0,0,1,0,0.0,0.0,0.6,0,0,0,0,1,0,0,0.0,6.8
17,Alex,Iwobi,Iwobi,EVE,MID,76.0,2.1,0.9,38,1162,1,0,1,2,0.3,0.1,6.8,26,0,0,0,0,0,0,100.0,5.6
18,Granit,Xhaka,Xhaka,ARS,MID,66.7,2.1,0.7,47,1904,0,1,7,0,2.3,0.5,9.2,25,0,0,0,7,0,0,100.0,5.1
19,Lucas,Torreira,Torreira,ARS,MID,67.3,1.8,1.1,44,1365,1,1,3,0,0.7,0.1,9.4,20,0,0,0,4,0,0,0.0,4.7
20,Mohamed,Elneny,Elneny,ARS,MID,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.3
21,Matteo,Guendouzi,Guendouzi,ARS,MID,69.8,2.0,5.6,44,1588,0,2,3,2,0.3,0.1,10.2,27,0,0,0,6,0,0,,4.3
22,Ahmed,El Mohamady,El Mohamady,AVL,DEF,44.1,1.7,0.8,20,763,0,1,1,5,0.3,0.1,4.8,26,0,0,0,0,0,0,,4.2
23,James,Chester,Chester,AVL,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.3
24,Neil,Taylor,Taylor,AVL,DEF,17.5,1.7,0.2,17,793,0,0,2,0,0.0,0.0,4.0,19,0,0,0,2,0,0,,4.3
25,Kortney,Hause,Hause,AVL,DEF,30.4,1.4,0.1,15,990,0,0,1,0,0.7,0.2,3.4,24,0,0,0,2,0,0,100.0,4.4
26,Jonathan,Kodjia,Kodjia,AVL,FWD,3.8,0.8,0.1,5,111,0,0,0,0,0.0,0.0,0.9,6,0,0,0,1,0,0,0.0,5.4
27,Ørjan,Nyland,Nyland,AVL,GKP,5.8,1.0,0.2,3,177,0,0,0,0,0.0,0.0,0.7,8,0,0,0,0,0,8,100.0,4.3
28,Conor,Hourihane,Hourihane,AVL,MID,70.6,2.9,0.1,52,940,3,2,2,6,0.7,0.1,9.1,26,0,0,0,4,0,0,100.0,5.7
29,Jack,Grealish,Grealish,AVL,MID,222.3,4.5,20.1,118,2333,7,7,4,15,3.0,0.5,18.2,52,0,0,1,7,0,0,100.0,6.5
30,Anwar,El Ghazi,El Ghazi,AVL,MID,135.9,3.2,0.8,79,1673,4,5,4,0,2.3,0.4,14.4,40,0,0,0,3,0,0,100.0,5.5
31,John,McGinn,McGinn,AVL,MID,113.5,3.4,2.6,61,1537,3,2,3,4,0.0,0.0,11.3,30,0,0,0,2,0,0,0.0,5.4
32,Andre,Green,Green,AVL,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.8
33,Birkir,Bjarnason,Bjarnason,AVL,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
34,Keinan,Davis,Davis,AVL,MID,14.2,1.4,0.2,11,129,0,1,0,0,0.3,0.1,2.6,3,0,0,0,0,0,0,100.0,4.3
35,Henri,Lansbury,Lansbury,AVL,MID,5.5,1.2,0.4,11,189,0,0,0,0,0.0,0.0,2.5,6,0,0,0,0,0,0,100.0,4.4
36,José Ignacio,Peleteiro Romallo,Jota,AVL,MID,14.9,1.9,0.1,15,310,0,1,2,0,0.0,0.0,2.6,4,0,0,0,0,0,0,100.0,5.8
37,Shane,Duffy,Duffy,BHA,DEF,37.9,2.4,0.9,36,1071,1,0,2,1,1.0,0.2,7.5,15,0,0,0,1,0,0,100.0,4.8
38,Martín,Montoya,Montoya,BHA,DEF,82.8,2.6,0.6,60,1703,0,1,6,3,2.0,0.5,14.0,25,0,0,0,5,0,0,100.0,4.3
39,Bernardo,Fernandes da Silva Junior,Bernardo,BHA,DEF,26.4,1.8,0.1,18,541,0,0,1,3,0.3,0.1,4.2,12,0,0,0,1,0,0,100.0,4.3
40,Leon,Balogun,Balogun,BHA,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.4
41,Gaëtan,Bong,Bong,BHA,DEF,5.0,0.8,0.1,3,57,0,0,0,0,0.0,0.0,0.7,3,0,0,0,0,0,0,0.0,4.2
42,Lewis,Dunk,Dunk,BHA,DEF,113.3,3.3,12.4,90,2430,2,3,6,11,3.0,0.6,18.8,36,0,0,0,9,0,0,100.0,4.8
43,Matthew,Clarke,Clarke,BHA,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.4
44,Glenn,Murray,Murray,BHA,FWD,30.6,1.5,0.7,29,701,1,0,2,0,1.0,0.2,5.4,10,0,0,0,0,0,0,100.0,5.4
45,Jürgen,Locadia,Locadia,BHA,FWD,3.3,1.5,0.1,3,85,0,0,1,0,0.0,0.0,0.6,1,0,0,0,0,0,0,0.0,5.2
46,Florin,Andone,Andone,BHA,FWD,7.6,1.7,0.3,5,71,1,0,0,1,0.0,0.0,1.1,2,0,0,0,0,1,0,0.0,4.7
47,Mathew,Ryan,Ryan,BHA,GKP,79.2,3.5,14.1,102,2610,0,0,6,12,3.7,0.8,21.2,40,0,0,0,0,0,92,,4.8
48,David,Button,Button,BHA,GKP,0.0,0.0,20.6,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,3.9
49,Pascal,Groß,Groß,BHA,MID,144.5,3.0,0.5,69,1485,2,5,3,7,0.0,0.0,11.0,25,1,0,0,2,0,0,,6.3
50,Alireza,Jahanbakhsh,Jahanbakhsh,BHA,MID,25.7,3.2,0.1,26,284,2,1,1,2,0.7,0.1,4.5,3,0,0,0,0,0,0,100.0,5.8
51,José Heriberto,Izquierdo Mena,Izquierdo,BHA,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,5.4
52,Anthony,Knockaert,Knockaert,BHA,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,5.4
53,Yves,Bissouma,Bissouma,BHA,MID,26.5,1.5,0.0,19,663,0,0,2,0,2.0,0.4,3.8,7,0,0,0,2,0,0,100.0,5.0
54,Davy,Pröpper,Pröpper,BHA,MID,108.2,2.5,0.4,64,2340,1,2,5,2,2.0,0.4,13.3,36,1,0,0,4,0,0,100.0,4.8
55,Solomon,March,March,BHA,MID,62.2,2.3,0.2,30,880,0,1,4,3,2.0,0.4,6.5,12,0,0,0,2,0,0,100.0,4.6
